"ID","Numéro d’inventaire","Pi","Provenance","secteur_ID","Famille","Type","Catégorie","Forme","Dimensions","Groupe d’argile ","Description","Contexte","Datation ","Origine ","Num_Analyse","Groupe géochimique ","Bibliographie","Rangement au musée archéologique de Thasos ","x","y"
"THA.54","74/222",,"Porte du Silène",197,"Vase de stockage",,"à bandes","pyxide","D. emb. : 14 cm Larg. : 16,1 cm Haut. prés. : 5,3 cm Ép. paroi : 0,7 cm","Pâte de couleur brun rougeâtre (5YR 6/6), plus ou moins fine, poreuse, renfermant une grande quantité de fines à grossières particules de mica et de sable. Cassures en section érodées. Texture sablonneuse. Cuisson en milieu oxydant (Perron groupe THA-I).","Rebord court et plat de section quasi-triangulaire. Étranglement au col. Les épaules sont
larges et de forme rectiligne. On note une importante carène dans la partie inférieure de l’épaule. Une anse verticale de section tréflée est fixée dans la partie inférieure de l’épaule. Celle-ci est accompagnée d’une protubérance faisant office de retour d’anses. Décor : Possible bande ondulée dans la partie supérieure de l’épaule. La jonction entre l’épaule et la panse est marquée d’une bande horizontale. Peinture mate de couleur rouge.","Quartier Ouest, Îlot I, Maison B, Période 4, Phase 1, troisième quart du IVe siècle av. J.-C.","Première moitié du Ve siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 770, no. THA.54, pl. 27.","Apothèque byzantine",24.712791306,40.774655185
"THA.57","75/1954",,"Porte du Silène",197,"Vase de banquet ",,"à vernis noir local","Cratère à colonnettes","D. emb. : approx. 32 cm Larg. : 9,1 cm Haut. prés. : 4,3 cm Ép. paroi : 0,7 cm","Pâte de couleur brun pâle (10YR 7/4), fine, dure, compacte, renfermant une faible quantité de fines particules de mica. La surface extérieure est enduite d’un mince engobe de couleur brun pâle. Cassures en section légèrement érodées. Texture lisse. Cuisson en milieu oxydant (Perron groupe THA-Ib).","Large rebord plat de section rectangulaire projeté vers l’extérieur dont la tranche extérieure forme un repli pendant. Le dessus rebord est légèrement convexe. Le col est rectiligne et profond. Décor : La surface supérieure du rebord est décorée de languettes. La partie supérieure interne est peinte. La partie supérieure de la paroi externe est ornée d’une large bande. Peinture mate de couleur rouge à brun.","Quartier Ouest, Îlot I, Maison B, Pièce 7 (AM/NGQ), sous le sol IV, couche 6/F (Remblai
sableux à la grandeur de la pièce). Période 4, Phase 1, troisième quart du IVe siècle av. J.-C. Céramiques essentiellement datées des VIe et Ve siècles, mais trois tessons sont datés de la première moitié du IVe siècle.","Dernier tiers du VIe siècle av. J.-C.","Thasienne","XRF-THA-26(IPET)","Marginaux 1","Perron 2013, p. 771, no. THA.57, pl. 27, 57. Pour le contexte de découverte, voir Grandjean 1988, p. 135-139, 167-169, 198-199 (tableau récapitulatif).","Apothèque byzantine (Silène meuble 5, tiroir B7)",24.712791306,40.774655185
"THA.91","75/1966",,"Porte du Silène",197,"Vase de service / vase à boire",,"à décor peint","Coupelle monoansée","D. emb. : 16 cm Larg. : 5,8 cm Haut. prés. : 3,9 cm Ép. paroi : 0,4 cm","Pâte de couleur brun pâle (10YR 6/4), fine, plus ou moins dure, compacte,
renfermant une faible quantité de fines particules de mica et quelques inclusions calcaires. Cassures en
section érodées. Texture sablonneuse. Cuisson en milieu oxydant (Perron, groupe THA.Ia).","Rebord de section rectangulaire légèrement incurvé vers l’intérieur. La surface supérieure du rebord est légèrement convexe. La vasque est courbe et en continuité avec le rebord. Une anse horizontale de section ovoïde s’attache au niveau du rebord. Décor : Le vase est entièrement peint à l’exception d’une bande réservée à l’extérieur au niveau de l’anse. Peinture mate de couleur brune à noire.","Quartier Ouest, Îlot I, Maison B, Pièce 7. Sous le sol IV, dans la couche 6/F. Remblai sableux à
la grandeur de la pièce. Céramiques essentiellement datées des VIe et Ve siècles, mais trois tessons sont datés de la première moitié du IVe siècle av. J.-C.","Fin du VIe / Premier quart du Ve siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 783, no. THA.91, pl. 30, 58. Pour le contexte de découverte, voir : Grandjean 1988.","Apothèque byzantine (Silène meuble 5, tiroir B7)",24.712791306,40.774655185
"THA.62","75/3267",,"Porte du Silène",197,"Vase de service ou de préparation",,"à bandes / à décor peint","Lékané","D. emb. : 38 cm Larg. : 7,8 cm Haut. prés. : 5,3 cm Ép. paroi : 0,6 cm","Pâte de couleur brun clair (7.5YR 7/4), fine, plus ou moins dure et légèrement pulvérulente, renfermant une bonne quantité de fines particules de mica et d’inclusions calcaires (points blancs pulvérulents). Les cassures en section sont érodées. Sans engobe. (Perron groupe THA.Ib)","Rebord de forme rectangulaire projeté vers l’extérieur. La surface du rebord est plane. Le rebord est légèrement incliné vers l’intérieur. La vasque est courbe, profonde et marque une rupture avec le rebord. Décor : La surface supérieure interne de la vasque et la tranche extérieure du rebord sont peintes. Peinture mate de couleur rouge.","Quartier Est, Îlot II, Maison a, Pièce 2 (GHIJ). Sous la cote 7,77 m – 7, 87 m. Sol (sol II) ou
substrat du sol II postérieur à l’atelier de bronzier. Début de la Période 2. Peu après 500 av. J.-C.","Fin du VIe / Premier quart du Ve siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 774, no. THA.62, pl. 28, 57. Pour le contexte de découverte, voir Grandjean 1988, p. 221, 237.","Apothèque byzantine (Silène meuble 19, tiroir C8)",24.712791306,40.774655185
"THA.65","75/4689",,"Porte du Silène",197,"Vase de service ou de préparation",,"à bandes / à décor peint - languettes","Lékané","D. emb. : 40 cm Larg. : 16,8 cm Haut. prés. : 6,9 cm Ép. paroi : 0,9 cm","Pâte de couleur brun pâle (10YR 7/4), fine, dure, compacte,
renfermant une faible quantité de fines particules de mica. Les surfaces intérieure et extérieure du vase sont enduites d’un mince engobe de couleur brun pâle. Cassures en section nettes. Texture sablonneuse. Cuisson
en milieu oxydant (Perron, groupe THA.Ib).","Rebord de forme rectangulaire projeté vers l’extérieur. La surface du rebord est plane. Le rebord est légèrement incliné vers l’intérieur. La vasque est courbe et profonde. Un départ d’anse verticale en forme de « panier » est visible sur le dessus du rebord. Décor : La surface supérieure du rebord est décorée de sept languettes disposées à intervalles plus ou moins régulières. La surface supérieure interne de la vasque et la partie inférieure externe de la vasque sont peintes. Peinture lustrée, diluée, de couleur gris noir à brun.","Quartier Ouest, Îlot I, Maison B, Pièce 1 (EFGH), Remblai sous le substrat du sol 7. Période 4,
Fin du IVe siècle av. J.-C. ?","Fin du VIe / Premier quart du Ve siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 774, no. THA.65, pl. 28, 57. Pour le contexte de découverte, voir Grandjean 1988, p. 221, 237.","Apothèque byzantine (Silène meuble 13, tiroir C2)",24.712791306,40.774655185
"THA.13","75/4703",,"Porte du Silène",197,"Vase de stockage",,"Waveline","Hydrie","Larg. : 9,7 cm Haut. prés. : 7,6 cm Ép. paroi : 0,6 à 0,8 cm","Pâte de couleur brun foncé à rouge foncé (5YR 5/4 à 7.5YR 5/6), fine, dure et compacte, renfermant une grande quantité de fines particules de mica et d’inclusions calcaires. Les cassures en section sont nettes. La texture au toucher est sablonneuse, voire abrasive. Sans engobe. (Perron, groupe THA.IV)","Fragment de col et d’épaule. La partie inférieure du col est marquée d’une bande horizontale
peinte rehaussée d’un rang de points effectués à l’aide d’un rehaut calcaire blanc. La partie supérieure de
l’épaule est décorée d’un motif curviligne (S-couché ?). La partie supérieure interne du col est peinte.
Peinture mate de couleur brune foncé.","Quartier Ouest, Îlot I, Maison B, Pièce 1 (EFGH). Remblai sous le substrat du sol VII. Période
4, Dernier quart du IVe siècle.","Fin du VIe / Premier quart du Ve siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 757, no. THA.13, pl. 24. Pour le contexte de
découverte, voir Grandjean 1988, p. 138-141, 183, 197-198.","Apothèque byzantine. (Silène meuble 10, tiroir A10)",24.712791306,40.774655185
"THA.60","75/5032",,"Porte du Silène",197,"Vase à boire ",,"Waveline","coupe-cratère","Larg. : 9,9 cm Haut. prés. : 8,5 cm Ép. paroi : 0,6 cm","Pâte de couleur brun foncé jaunâtre (10YR 5/4), fine, très dure, très
compacte, renfermant peu de fines particules de mica. Cassures en section nettes. Les surfaces internes et externes sont enduites d’un mince engobe de même couleur que l’argile. Texture lisse. Cuisson en milieu réducteur (Perron, groupe THA.VIII). ","Partie inférieure de la vasque sous le décrochement de la lèvre. Le décrochement à la jonction de la lèvre est peu anguleux. La vasque est arrondie et assez profonde. Décor : La partie supérieure de la vasque (zone des anses latérales?) est décorée d’une bande à ondulations courtes et sinueuses. La partie inférieure est ornée de deux bandes horizontales. La jonction interne de la lèvre et de la vasque est marquée d’un filet. Le fond accueille deux bandes circulaires. Peinture mate de couleur noire.","Quartier Ouest, îlot I, Maison B, Pièce 1 (FEGH). Sous le sol IIIb, dans la couche 5b/D. Entre la
Période 2, Phase 2 et la Période 3, Phase 1 (circa 480/470-425 av. J.-C.)","Première moitié du Ve siècle av. J.-C.","Thasienne ?","XRF-THA-25(IPET)","Groupe 9 (Perron 2013)","Perron 2013, p. 773, no. THA.60, pl. 27. Pour le contexte de découverte, voir Grandjean 1988, p. 221, 237.","Apothèque byzantine (Silène meuble 11; tiroir A11)",24.712791306,40.774655185
"THA.75","75/6930",,"Porte du Silène",197,"Vase de service ou de préparation",,"à bandes / à décor peint - languettes","Lékané","D. emb. : 40 cm Larg. : 11,5 cm Haut. prés. : 7,0 cm Ép. paroi : 0,9 cm","Pâte de couleur rouge orangé (5YR 5/6), fine, dure, compacte, renfermant une
bonne quantité de fines à moyennes particules de mica et plusieurs inclusions calcaires. Cassures en section nettes. Texture abrasive. Cuisson en milieu oxydant (Perron, groupe THA.VII).","Large rebord plat, de section rectangulaire, projeté vers l’extérieur. La vasque est rectiligne et profonde. Décor : Le dessus du rebord est décoré d’un groupe de cinq traits parallèles obliques butant contre un filet circulaire. La partie supérieure interne de la vasque est peinte. Peinture mate de couleur brune à noire.","Quartier Est, Îlot II, Maison a, Pièce 3 (BDGH). Sous sol II. Sol (sol II) ou substrat de sol
postérieur à l’atelier de bronzier. Début de la Période 2. Peu après 500 av. J.-C.","Dernier quart du VIe siècle av. J.-C.","Nord-égéenne?","XRF-THA-29(IPET)","Groupe 13 (Perron 2013)","Perron 2013, p. 778, no. THA.75, pl. 29, 57.","Apothèque byzantine (Silène meuble 4, tiroir D3)",24.712791306,40.774655185
"THA.82","77/2566",,"Porte du Silène",197,"Vase de service ou de préparation",,"à décor peint - Waveline","Lékané","D. emb. : 32 cm Larg. : 13,0 cm Haut. prés. : 6,6 cm Ép. paroi : 0,8 cm","Pâte de couleur rouge orangé (7.5YR 6/6 à 7/6), fine, dure, compacte, renfermant
une grande quantité de fines particules de mica et d’inclusions calcaires. Cassures en section nettes. Texture sablonneuse. Cuisson en milieu oxydant (Perron, groupe THA.I).","Rebord plat de section rectangulaire projeté vers l’extérieur. La vasque est rectiligne et
profonde. Décor : Le dessus du rebord est décoré d’une bande ondulée séparant deux séries de points continus. La surface externe de la vasque est décorée d’une bande dans sa partie inférieure. La partie supérieure interne est peinte. Une seconde bande orne la partie inférieure de la vasque. Peinture mate de couleur noire.","Quartier Ouest, Îlot I, Maison B, Cour 5 (KJGN). Sous le sol II au nord du mur T, dans la
couche 6a/F (7.96/8.08 m). Période 4, Phase 1 (après 350 av. J.-C.).","Dernier quart du VIe siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 780, no. THA.82, pl. 29, 58. Pour le contexte de découverte, voir Grandjean 1988, p. 221, 237.","Apothèque byzantine (Silène meuble 8, tiroir A4)",24.712791306,40.774655185
"THA.34","77/2590",,"Porte du Silène",197,"Vase de stockage",,"Waveline","Hydrie ou Amphore de table","Larg. : 4,9 cm Haut. prés. : 6,2 cm Ép. paroi : 0,5 cm","Pâte de couleur rougeâtre (5YR 6/6), fine, plus ou moins dure et légèrement pulvérulente, renfermant une grande quantité de fines particules de mica et d’inclusions calcaires (points blancs pulvérulents). Les cassures en section sont nettes. Sans engobe. (Perron groupe THA.II)","Fragment d’épaule décoré d’une bande à ondulations hautes et effilées exécutées de la
gauche vers la droite. Deux bandes horizontales délimitent la jonction de l’épaule et de la panse/zone des anses. Un départ d’anse verticale est visible dans la partie inférieure droite du tesson. Peinture mate de couleur brunâtre.","Quartier Ouest, Îlot I, Maison B, Cour 5 (KJGN). Sous le sol II au nord du mur T dans la
couche 6a/F (7,96/8,08 m). Période 4, Phase 1 (après 350 av. J.-C.). Matériel résiduel.","Dernier quart du VIe siècle av. J.-C.","Thasienne","XRF-THA-20(IPET)","Groupe 2 (Perron 2013)","Perron 2013, p. 764, no. THA.34, pl. 26. Pour le contexte de découverte, voir Grandjean 1988, p. 136, 144, 172-176, 198-199.","Apothèque byzantine (Silène meuble 8, tiroir A4)",24.712791306,40.774655185
"THA.20","77/3031",,"Porte du Silène",197,"Vase de stockage",,"Waveline","Hydrie","Larg. : 8,8 cm Haut. prés. : 4,1 cm Ép. paroi : 0,7 cm","Pâte de couleur brun orangé (7.5YR 6/6), fine, plus ou moins dure et légèrement pulvérulente, renfermant une bonne quantité de fines particules de mica et d’inclusions calcaires (points blancs pulvérulents). Les cassures en section sont nettes. Sans engobe. (Perron groupe THA.I)","Large fragment d’épaule décoré d’une bande à ondulations hautes, rapprochées et effilées
exécutées de la gauche vers la droite. Peinture mate de couleur brunâtre.","Rue du rempart, tronçon occidental. Sous le sol IV (sous 6,50 m). À chemin entre la Période 2 et la Période 3. Remblai du rehaussement des voies de passage contenant du matériel daté de la fin du VIe et de la première moitié du Ve siècle av. J.-C.","Fin du VIe siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 759, no. THA.20, pl. 25 ; Pour le contexte de découverte, voir Grandjean 1988, p. 55, 60","Apothèque byzantine. (Silène meuble 16; tiroir C5)",24.712791306,40.774655185
"THA.77","92.311.182",,"Champ Valma",27,"Vase de service ou de préparation",,"à bandes / à décor peint - languettes","Lékané","D. emb. : 40 cm Larg. : 10,6 cm Haut. prés. : 3,4 cm Ép. paroi : 0,6 cm","Pâte de couleur rouge orangé (5YR 6/6), fine, dure, compacte, renfermant une
bonne quantité de fines à moyennes particules de mica et d’inclusions calcaires. Cassures en section nettes.
Texture lisse. Cuisson en milieu oxydant (Perron, groupe THA.Ia).","Large rebord plat à extrémité arrondie projeté vers l’extérieur. La surface supérieure du
rebord est légèrement convexe. La vasque est rectiligne et profonde. Un départ d’anse verticale en forme de « panier » est visible sur le dessus du rebord. Décor : Le dessus du rebord est décoré de deux groupes de six traits parallèles obliques. Les deux groupes sont disposés de manière opposée formant un motif en « Λ ». La partie supérieure interne de la vasque et de l’anse sont peintes. Peinture mate de couleur noire.","Abords Nord-Est de l’Agora 1992. Sondage XII. Maison paléochrétienne, au coin sud-ouest de
la pièce PCE 25 (murs ABEM) à l’angle des murs A et B. Probable habitat de la fin de l’époque archaïque situé sous le dallage et le « hérisson de pierre ».","Dernier quart du VIe siècle av. J.-C.","Thasienne","XRF-THA.12(IPET)","Groupe 2 (Perron 2013)","Perron 2013, p. 778, no. THA.77, pl. 29, 57; Pour le contexte de découverte, voir Blondé, Muller, Mulliez 1993, p. 661-668.","Rez-de-chaussée de l'apothèque française",24.715039152,40.780367769
"THA.76","92.328.I",,"Champ Valma",27,"Vase de service ou de préparation",,"à bandes / à décor peint - languettes","Lékané","D. emb. : 40 cm Larg. : 11,9 cm Haut. prés. : 6,6 cm Ép. paroi : 0,9 cm","Pâte de couleur rouge orangé (5YR 5/6), fine, dure, compacte, renfermant une
bonne quantité de fines à moyennes particules de mica et d’inclusions calcaires. Cassures en section nettes. Texture lisse. Cuisson en milieu oxydant (Perron, groupe THA.Ia).","Large rebord plat de section rectangulaire projeté vers l’extérieur. Le dessus du rebord est légèrement convexe. La vasque est rectiligne et profonde. Décor : La surface supérieure du rebord est décorée de deux groupes de cinq traits parallèles obliques. Les deux groupes sont disposés de manière opposée formant un motif en « V ». La partie supérieure interne de la vasque est peinte suivie d’un filet circulaire. Peinture mate de couleur rouge.","Abords Nord-Est de l’Agora 1992. Sondage XII. Maison paléochrétienne, au coin sud-ouest de
la pièce PCE 25 (murs ABEM) à l’angle des murs A et B. Probable habitat de la fin de l’époque archaïque situé sous le dallage et le « hérisson de pierre ».","Dernier quart du VIe siècle av. J.-C.","Thasienne","XRF-THA.11(IPET)","Groupe 9 (Perron 2013)","Perron 2013, p. 778, no. THA.76, pl. 29, 57; Pour le contexte de découverte, voir Blondé, Muller, Mulliez 1993, p. 661-668.","Rez-de-chaussée de l'apothèque française",24.715039152,40.780367769
"THA.92","C-308",,"Champ Dimitriadis",7,"Vase de service / vase à boire",,"à décor peint","Coupelle monoansée","D. emb. : 18 cm Haut. prés. : 4,8 cm Ép. paroi : 0,4 à 0,7 cm","Pâte de couleur rouge orangé (7.5YR 5/6), fine, dure, compacte, renfermant
une bonne quantité de fines particules d’inclusions calcaires et une grande quantité de mica. Cassures en section légèrement érodées. La surface externe est enduite d’un mince engobe de même couleur que
l’argile. Texture sablonneuse. Cuisson en milieu oxydant (Perron, groupe THA.Ia).
","Rebord de section rectangulaire légèrement incurvé vers l’intérieur. La vasque présente un profil courbe, régulier, et en continuité avec le rebord. La vasque interne affiche un léger décrochement à la jonction du rebord et de la vasque. Décor : La surface interne est peinte. Peinture mate de couleur rouge.","Inconnu","Fin du VIe / Premier quart du Ve siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 783, no. THA.92, pl. 30, 58. ","Vestibule de la salle des marbres",24.715595886,40.782279683
"THA.59","C-631",,"Champ Dimitriadis",7,"Vase à boire ",,"Waveline","coupe-cratère","D. emb. : 22 cm Larg. : 4,7 cm Haut. prés. : 4 cm Ép. paroi : 0,3 à 0,4 cm","Pâte de couleur brun pale (7.5YR 5/4), très fine, très dure, compacte, renfermant une bonne quantité de fines particules d’inclusions calcaires et de mica. Cassures en section nettes. Texture lisse. Cuisson en milieu oxydant. Pâte très fine et de très bonne qualité (Perron groupe THA.XIII).","Petit rebord plat légèrement projeté vers l’extérieur. L’extrémité du rebord est arrondie.
L’intérieur du rebord présente un ressaut destiné à recevoir un couvercle. La vasque est courbe, très arrondie et peu profonde. La jonction de la vasque avec le rebord est anguleuse. Décor : Le rebord est entièrement peint. La surface extérieure est décorée d’un mince filet sous le rebord et d’une bande à ondulations hautes et sinueuses au niveau de la vasque. La surface interne de la vasque est peinte. Peinture semi-lustrée de couleur noire.","Archaïque","Seconde moitié du VIe siècle av. J.-C.","Nord-égéenne ? Grèce de l'Est ?","XRF-THA-06(IPET)","Groupe 13 (Perron 2013)","Perron 2013, p. 772, no. THA.59, pl. 27, 57.","Vestibule de la salle des marbres",24.715595886,40.782279683
"THA.33","D 216",,"Champ Dimitriadis",7,"Vase de stockage",,"Waveline","Hydrie ou Amphore de table","Larg. : 5,7 cm Haut. prés.: 5,8 cm Ép. paroi : 0,5 cm","Pâte de couleur brunâtre (7.5YR 6/6), fine, dure et renfermant peu d’inclusions visibles à l’oeil nu (mica). La cuisson a été réalisée dans un milieu oxydant. (Perron, près des groupes THA.XI et THA.III).","Fragment de col décoré d’un « S-couché ». La jonction du col et de l’épaule est marquée par la présence d’une bande horizontale. Peinture mate de couleur orangé.","Archaïque","Seconde moitié du VIe siècle av. J.-C.","Thasienne ? Grèce de l'Est ?","XRF-THA-15(IPET)","Groupe 2 (Perron 2013)","Études thasiennes VII, p. 34, no 44, pl. XI; Perron 2013, p. 763, no. THA.33, pl. 26.","Rez-de-chaussée de l'apothèque française",24.715595886,40.782279683
"THA.22","D 512/53.316",,"Champ Dimitriadis",7,"Vase de stockage",,"Waveline","Hydrie","Larg. : 10,5 cm Haut. prés.: 7,4 cm Ép. paroi : 0,5 cm","Pâte rougeâtre  (5YR 5/4), fine, dure, compacte, et renfermant une bonne quantité de fines particules de mica et d’inclusions calcaires. Les
cassures en section sont nettes. La texture au toucher est sablonneuse. Mince engobe de même couleur que l’argile (Perron, près du groupe THA.III). ","Fragment de paroi (zones des anses latérales) décoré d’une bande ondulée. L’ondulation est
comprise à l’intérieur d’une frise délimitée par deux bandes horizontales. Un départ d’anse est visible à la droite du tesson. Le pourtour de l’anse horizontale est peint. Peinture semi-lustrée de couleur brun à rouge.","Fouilles de 1953","Seconde moitié du VIe siècle av. J.-C.","Thasienne ? Grèce de l'Est ?",,,"Études thasiennes VII, p. 34, no 47, pl. XI; Perron 2013, p. 760, no. THA.22, pl. 25.","Vestibule de la salle des marbres",24.715595886,40.782279683
"THA.32","D 619",,"Champ Dimitriadis",7,"Vase de stockage",,"Waveline","Hydrie ou Amphore de table","Larg. : 4,2 cm Haut. prés. : 4,9 cm Ép. paroi : 0,5 cm","Pâte de couleur rouge orangé (5YR 6/6 à 7.5YR
6/6), fine, dure avec une surface lissée qui est douce au toucher. L'argile renferme peu d’inclusions visibles à l’oeil nu (mica). La cuisson a été réalisée dans un milieu oxydant. (Perron, groupe THA.XI).","Fragment de col décoré de deux bandes ondulées parallèles. La jonction du col et de l’épaule
est marquée par la présence d’une bande horizontale. Peinture mate de couleur noire.","Archaïque","Fin du VIIe / Première moitié du VIe siècle av. J.-C.","Grèce de l’Est","XRF-THA-21(IPET)","Marginaux 1","Études thasiennes VII, p. 34, no 48, pl. XI; Perron 2013, p. 763, no. THA.32, pl. 26. ","Rez-de-chaussée de l'apothèque française",24.715595886,40.782279683
"THA.53","D 720",,"Champ Dimitriadis",7,"Vase de service",,"à bandes","Olpè","D. emb. : 5,5 cm Larg. : 7,5 cm Haut. prés. : 10,3 cm Ép. paroi : 0,4 cm","Pâte de couleur brun rougeâtre (5YR 6/6), fine, plus ou moins dure et légèrement pulvérulente, renfermant une bonne quantité de fines particules de mica et d’inclusions calcaires (points blancs pulvérulents). Les cassures en section sont nettes. Sans engobe. (Perron groupe THA.I)","Partie supérieure du récipient. Lèvre arrondie légèrement déversée vers l’extérieur. Le col est
haut, sinueux et se poursuit sans rupture jusqu’à l’épaule. Le corps est de forme cylindrique et la panse est
légèrement plus large que l’épaule. La base est manquante. Décor : Deux bandes horizontales sont placées aux points d’inflexion. La lèvre est peinte. Peinture mate de couleur brun à rouge.","Inconnu","Fin du VIe / Première moitié du Ve siècle av. J.-C.","Thasienne",,,"Études thasiennes VII, p. 32, no 36, pl. X. Perron 2013, p. 770, no. THA.53, pl. 27, 57.","Vestibule de la pièce des marbres",24.715595886,40.782279683
"THA.47","D 911",,"Champ Dimitriadis",7,"Vase de stockage",,"Waveline","Hydrie ou amphore de table","Long. : 6,4 cm Dimensions anse : 3,2 x 1,4 cm","Pâte de couleur brun orangé (7.5YR 6/6), fine, plus ou moins dure et légèrement pulvérulente, renfermant une bonne quantité de fines particules de mica et d’inclusions calcaires (points blancs pulvérulents). Les cassures en section sont nettes. Sans engobe. (Perron groupe THA.I)","Fragment d’anse verticale décorée d’un croisillon. L’anse est de section ovale. Peinture mate de couleur noire.","Archaïque","Seconde moitié du VIe siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 768, no. THA.47, pl. 26.","Vestibule de la pièce des marbres",24.715595886,40.782279683
"THA.17","H 151",,"Champ Dimitriadis ? Odéon ?",7,"Vase de stockage",,"Waveline","Hydrie","Larg. : 7,2 cm Haut. prés. : 8,1 cm Ép. paroi : 0,5 cm","Pâte brun orangé (7.5YR 5/4), fine, dure, compacte, et renfermant une bonne quantité de fines particules de mica et d’inclusions calcaires. Les
cassures en section sont nettes. La texture au toucher est sablonneuse. Mince engobe de même couleur que l’argile (Perron, groupe THA.III). ","Fragment d’épaule décoré de deux bandes ondulées parallèles à ondulations hautes,
rapprochées et effilées. Les ondulations sont exécutées de la gauche vers la droite. Présence de deux filets
ondulés verticaux à la droite du tesson qui délimitent la zone de l’anse verticale. La jonction de l’épaule et
de la zone des anses latérales est marquée par la présence de deux bandes horizontales. Peinture semilustrée
de couleur brun à orangé.","S/O","Fin du VIe siècle av. J.-C.","Nord-Égéenne (région du Strymon?)","XRF-THA-13(IPET)","Groupe 12 (Perron 2013)","Études thasiennes VII, p. 34, no 46, pl. XI ; Perron 2013, p. 758, no. THA.17, pl. 25.","Rez-de-chaussée de l'apothèque française",24.715595886,40.782279683
"THA.45","H 171",,"Champ Dimitriadis ?",7,"Vase de stockage",,"Waveline","Stamnos ou stamnos-cratère","Larg. : 13,0 cm Haut. prés. : 7,7 cm Ép. paroi : 0,5 cm",,"Fragment de paroi. Partie inférieure de la panse. La partie supérieure du tesson (la zone des anses ?) est décorée de filets ondulés verticaux. Un filet et une bande horizontale délimitent la partie
inférieure de la panse. Peinture semi-lustrée de couleur noire.
","Fouilles de 1953. Groupe de bâtiments 1. Sous le dallage de la maison hellénistique. Remblai
daté de la première moitié du Ve siècle couvrant les maisons du VIe siècle. Remblai contenant
essentiellement du matériel daté du VIe et des premières décennies du Ve siècle av. J.-C.","Seconde moitié du VIe siècle av. J.-C.","Thasienne ou nord-égéenne",,,"Études thasiennes VII, p. 34, no 45, pl. XI ; Perron 2013, p. 768, no. THA.45, pl. 26. Pour le contexte de découverte, voir : Chroniques de
fouilles, BCH 78, 1954, p. 196 (groupe d’habitations 1).","Vestibule de la pièce des marbres",24.715595886,40.782279683
"THA.11",,,"Acropole Sanctuaire d’Athéna Poliouchos",141,"Vase de stockage",,"Waveline","Hydrie","D. emb. : 13 cm Larg. : 8,1 cm Haut. prés. : 3,6 cm Ép. paroi : 0,4 cm","Pâte rouge orangé (5YR 5/4), fine, dure, compacte, et renfermant une bonne quantité de fines particules de mica et d’inclusions calcaires. Les
cassures en section sont nettes. La texture au toucher est lisse. Mince engobe de même couleur que l’argile (Perron, groupe THA.III). ","Fragment de rebord avec partie supérieure du col. Rebord de section rectangulaire légèrement projeté vers l’extérieur. Le rebord est incliné vers l’intérieur. L’intérieur du rebord présente une cavité destinée à recevoir un couvercle. Le col est rectiligne et de forme cylindrique. Décor : L’intérieur, le dessus et l’extérieur du rebord sont peints. Le col est décoré d’une bande à ondulations rapprochées et effilées. Peinture mate, épaisse, de couleur noire.","Sanctuaire d’Athéna Poliouchos. Sondage de 1959 effectué à 10 mètres de l’angle Nord-Ouest
du mur de terrasse Nord. Remblai antérieur au mur de terrasse du Ve siècle.","Fin du VIe siècle av. J.-C.","Thasienne","XRF-THA-2(IPET)","Groupe 2 (Perron 2013)","Perron 2013, p. 756, no. THA.11, pl. 24, 56. Pour le contexte de découverte, voir Chroniques de fouilles, BCH 83, 1959, p. 781-783.","Rez-de-chaussée de l'apothèque française",24.718625426,40.777092407
"THA.15",,,"Héracleion.",145,"Vase de stockage",,"Waveline","Hydrie","Larg. : 6,5 cm Haut. prés. : 5,4 cm Ép. paroi : 0,6 cm","Pâte de couleur rougeâtre (5YR 6/6), fine, plus ou moins dure et légèrement pulvérulente, renfermant une grande quantité de fines particules de mica et d’inclusions calcaires (points blancs pulvérulents). Les cassures en section sont nettes. Mince engobe rougeâtre. (Perron groupe THA.II)","Fragment de col (partie inférieure) décoré d’une bande horizontale à la jonction avec
l’épaule. Une série de points, ajoutés en rehaut blanc, superposent la bande peinte. Peinture mate de couleur
rouge.","Héracleion. Fouilles Launey. Archaïque. (Provient d’une boîte contenant uniquement du matériel daté de la seconde moitié
du VIe et du premier quart du Ve siècle).","Fin du VIe / Premier quart du Ve siècle av. J.-C.","Thasienne / Nord-Égéenne","XRF-THA-10(IPET)","Groupe 9 (Perron 2013)","Perron 2013, p. 758, no. THA.15, pl. 24.","Rez-de-chaussée de l'apothèque française",24.711386102,40.776989451
